seq,ax,ay,az,gx,gy,gz,label
3,-0.214600,-0.963623,0.900391,-22.580153,16.656488,5.709924,A
3,-0.307617,-0.973877,1.018555,-26.435114,15.763359,-21.854961,A
3,-0.355713,-0.974121,1.079346,-16.106871,5.442748,-41.099236,A
3,-0.335938,-0.882813,0.999268,-1.671756,3.717557,-59.832062,A
3,-0.280518,-0.855713,0.845947,8.969465,9.809160,-78.916031,A
3,-0.227051,-0.802490,0.748047,27.572519,27.709923,-99.694656,A
3,-0.237549,-0.602295,0.841064,47.290077,38.839695,-114.389313,A
3,-0.185303,-0.471436,0.794678,53.954197,32.664124,-124.236641,A
3,-0.217773,-0.309814,0.929688,53.076336,22.511450,-137.213745,A
3,-0.231689,-0.200195,0.988037,57.366413,14.183207,-144.473282,A
3,-0.242676,-0.010010,0.989502,62.557251,-5.068702,-159.320618,A
3,-0.189697,0.512939,0.905273,52.427483,-5.916030,-137.610687,A
3,-0.158936,0.404297,0.898682,36.374046,-7.213740,-115.213737,A
3,-0.128906,0.566162,0.864746,32.778625,-8.297709,-98.923668,A
3,-0.073730,0.582031,0.783203,19.267176,-0.076336,-77.717560,A
3,-0.069824,0.572266,0.868652,15.648855,11.305344,-56.076336,A
3,-0.060547,0.561768,0.979248,10.664123,13.106871,-38.145039,A
3,-0.044678,0.526367,1.004150,-1.480916,2.732824,-25.160305,A
3,-0.001709,0.387939,0.945313,-10.526717,0.687023,-15.770992,A
3,0.017578,0.324707,0.953369,-14.122137,3.770992,-7.946565,A
3,0.028809,0.234619,0.963623,-12.862596,6.335878,-5.694656,A
3,0.015869,0.219727,0.985596,-16.458015,6.541985,-3.244275,A
4,-0.251221,0.010742,1.092285,-12.725191,12.641221,3.763359,A
4,-0.236816,0.013672,1.163818,-17.053434,11.488549,3.877863,A
4,-0.229248,-0.044678,1.307861,-20.396946,8.801527,4.366412,A
4,-0.262207,-0.081543,1.468750,-22.931297,4.335878,4.916030,A
4,-0.314453,-0.149658,1.645508,-31.549618,-5.496183,2.572519,A
4,-0.351318,-0.182129,1.774902,-39.122139,-24.190840,-5.083970,A
4,-0.376709,-0.164307,1.774414,-40.198475,-46.496181,-11.068703,A
4,-0.356934,-0.161377,1.624268,-36.938931,-64.305344,-15.786260,A
4,-0.319824,-0.102783,1.477539,-29.625954,-71.877861,-16.305344,A
4,-0.331055,-0.070313,1.403076,-23.274809,-79.664124,-15.236641,A
4,-0.319824,-0.019775,1.291504,-28.129770,-89.564888,-20.167938,A
4,-0.248535,-0.015381,1.148193,-39.274811,-97.038170,-20.572519,A
4,-0.175049,-0.020020,1.029541,-37.679390,-95.961830,-20.106871,A
4,-0.126953,-0.085205,0.974609,-30.503817,-93.198471,-17.702290,A
4,-0.073242,-0.105713,0.927490,-21.793894,-90.312981,-16.091602,A
4,-0.071533,-0.162354,0.944580,-19.000000,-90.236641,-21.076336,A
4,-0.045410,-0.121826,0.936035,-26.351145,-91.977097,-30.671755,A
4,-0.023682,-0.037842,0.913086,-35.419846,-94.251907,-32.358780,A
